Date,TD.TO,SHOP.TO,RY.TO,BNS.TO,ABX.TO,BMO.TO,CM.TO,L.TO,NA.TO,FNV.TO,G.TO,TRP.TO,WPM.TO,AC.TO,CVE.TO,BHC.TO,CNQ.TO,WN.TO,SU.TO,ENB.TO,MG.TO,K.TO,IMO.TO,SLF.TO,EMA.TO,QSR.TO,DOL.TO,CP.TO,MFC.TO,MRU.TO,POW.TO,FVI.TO,LSPD.TO,FTS.TO,TOU.TO,ATZ.TO,CMG.TO,DPM.TO,GSY.TO,DOO.TO,FM.TO
2024-09-11,79.77410125732422,97.06999969482422,161.82228088378906,66.21216583251953,26.408201217651367,109.3969955444336,79.51642608642578,174.67562866210938,123.35774993896484,162.93887329101562,0.6899999976158142,53.8415641784668,79.89724731445312,15.40999984741211,21.164318084716797,8.670000076293945,41.76256561279297,221.12977600097656,47.38856506347656,52.22305679321289,51.36457824707031,12.31369686126709,87.22640991210938,72.81427764892578,48.20603942871094,91.80579376220703,135.1903839111328,115.92677307128906,36.41789245605469,84.91569519042969,39.702205657958984,5.869999885559082,17.1200008392334,59.01335144042969,55.81491470336914,46.5099983215332,11.512311935424805,12.861380577087402,173.29559326171875,81.63665008544922,15.829999923706055
2024-09-12,80.05030059814453,96.83999633789062,162.71131896972656,66.23102569580078,27.52943992614746,110.44796752929688,79.1812744140625,178.1083984375,123.2901840209961,168.41477966308594,0.7300000190734863,54.118343353271484,82.84793853759766,15.699999809265137,21.27037811279297,8.5600004196167,42.09514617919922,224.39385986328125,47.72733688354492,52.55763244628906,51.56687545776367,13.176944732666016,87.68683624267578,73.76496124267578,49.632137298583984,92.19842529296875,134.81130981445312,116.95909118652344,36.83548355102539,85.75594329833984,39.94974899291992,6.400000095367432,17.139999389648438,59.58648681640625,55.94792556762695,46.75,11.620362281799316,13.157271385192871,172.22073364257812,83.57120513916016,16.600000381469727
2024-09-13,80.51697540283203,98.44000244140625,162.3634490966797,66.68362426757812,27.844175338745117,111.10721588134766,79.94732666015625,179.04396057128906,122.78825378417969,168.72235107421875,0.7799999713897705,54.723785400390625,84.45741271972656,15.850000381469727,21.41619873046875,8.600000381469727,41.73453903198242,223.49322509765625,47.940269470214844,52.930450439453125,52.64580535888672,13.256324768066406,88.16685485839844,73.95897674560547,50.07310485839844,92.25731658935547,133.14552307128906,116.48263549804688,37.049137115478516,85.46927642822266,40.092567443847656,6.699999809265137,17.15999984741211,60.07219314575195,56.50224304199219,47.369998931884766,11.50248908996582,13.334805488586426,172.8598175048828,83.98575592041016,16.860000610351562
2024-09-16,81.42176818847656,99.9800033569336,161.93826293945312,67.44740295410156,27.421249389648438,112.72189331054688,80.04308319091797,179.371337890625,122.46971893310547,168.46438598632812,0.8199999928474426,54.965965270996094,84.0500717163086,16.399999618530273,21.73700523376465,9.510000228881836,42.244197845458984,224.3443603515625,48.317752838134766,53.49445343017578,52.53020095825195,12.760204315185547,89.19546508789062,74.51191711425781,50.063720703125,93.23888397216797,136.1379852294922,117.73332977294922,37.33076477050781,85.40996551513672,40.321067810058594,6.760000228881836,17.459999084472656,60.2179069519043,56.49269485473633,47.349998474121094,11.414084434509277,13.295352935791016,173.68292236328125,81.12339782714844,16.770000457763672
2024-09-17,81.4408187866211,101.2699966430664,161.4261016845703,67.40968322753906,27.39174461364746,113.98306274414062,80.18672180175781,173.6469268798828,122.94269561767578,168.12704467773438,0.8399999737739563,54.550804138183594,83.3744888305664,16.489999771118164,22.08697509765625,9.760000228881836,42.96541976928711,219.3760986328125,49.034000396728516,53.06427764892578,53.975189208984375,12.670904159545898,89.61669921875,74.39551544189453,49.829166412353516,92.48307800292969,134.36245727539062,116.91938018798828,37.32105255126953,83.71955871582031,40.4734001159668,6.78000020980835,17.8799991607666,59.897335052490234,56.960994720458984,47.31999969482422,11.6301851272583,13.236175537109375,175.27101135253906,81.89327239990234,17.399999618530273
2024-09-18,81.20272064208984,102.5,161.1941680908203,67.38139343261719,26.909809112548828,113.05628967285156,79.4206771850586,172.63497924804688,122.44076538085938,167.50196838378906,0.8100000023841858,54.22212600708008,82.97708892822266,16.440000534057617,21.999483108520508,10.90999984741211,43.003883361816406,219.9798126220703,48.743629455566406,52.74882125854492,54.1678581237793,12.45261001586914,89.29341888427734,74.49251556396484,49.37881851196289,92.58123016357422,134.09312438964844,116.2444076538086,37.37932586669922,83.73932647705078,40.46388244628906,6.550000190734863,18.170000076293945,59.401920318603516,56.244197845458984,46.709999084472656,11.345325469970703,13.088231086730957,174.72874450683594,81.85379028320312,17.360000610351562
2024-09-19,83.16468048095703,106.73999786376953,161.3101348876953,67.90000915527344,26.98849105834961,115.0436019897461,80.08139038085938,169.3511505126953,123.59906005859375,169.78399658203125,0.8700000047683716,52.78635025024414,83.81163024902344,16.329999923706055,22.69942283630371,11.109999656677246,44.04243469238281,217.436279296875,49.48891830444336,52.40468215942383,55.526145935058594,12.56175708770752,91.3702392578125,74.8126449584961,48.712677001953125,94.55418395996094,134.93101501464844,116.97894287109375,38.03969955444336,82.69147491455078,40.83519744873047,6.599999904632568,18.979999542236328,58.751068115234375,56.922760009765625,46.68000030517578,11.50248908996582,13.147408485412598,179.64796447753906,82.6137924194336,17.940000534057617
2024-09-20,83.38373565673828,106.76000213623047,159.73501586914062,69.16352081298828,27.1655330657959,116.57228088378906,80.11012268066406,173.08145141601562,122.79790496826172,172.29425048828125,0.8999999761581421,54.187538146972656,84.29844665527344,15.949999809265137,22.563322067260742,10.890000343322754,43.51354217529297,217.2680206298828,48.850101470947266,52.55763244628906,54.842185974121094,12.909041404724121,91.19390869140625,74.47311401367188,49.23808670043945,93.59223937988281,135.04074096679688,115.5992202758789,37.86489486694336,82.04891967773438,40.57813262939453,6.650000095367432,18.739999771118164,58.86763381958008,55.909698486328125,48.689998626708984,11.404261589050293,13.374258041381836,175.416259765625,82.39665985107422,17.84000015258789
2024-09-23,82.20274353027344,108.2300033569336,160.7593231201172,68.70148468017578,26.85079574584961,116.14234161376953,79.57388305664062,175.90890502929688,123.04886627197266,169.61534118652344,0.9399999976158142,55.026512145996094,83.54338836669922,15.960000038146973,22.602209091186523,10.8100004196167,43.917423248291016,221.14764404296875,49.4792366027832,52.78705978393555,54.87108612060547,12.89911937713623,93.0356216430664,74.541015625,49.36943435668945,93.5235366821289,135.17042541503906,114.74556732177734,37.8454704284668,82.96826171875,41.073219299316406,6.329999923706055,18.459999084472656,59.052207946777344,56.750732421875,49.58000183105469,11.217628479003906,13.41370964050293,175.34848022460938,80.93585968017578,17.610000610351562
2024-09-24,81.65987396240234,107.95999908447266,160.5950469970703,68.73920440673828,27.027833938598633,115.73150634765625,79.38236999511719,175.3434295654297,122.26702880859375,170.77618408203125,0.949999988079071,54.65458679199219,84.76538848876953,16.450000762939453,22.689701080322266,10.84000015258789,44.734806060791016,221.65240478515625,49.682498931884766,52.48115921020508,55.42018127441406,13.018186569213867,93.96626281738281,75.00666809082031,49.29438018798828,93.17999267578125,135.79884338378906,115.23194122314453,38.10768508911133,83.5910415649414,40.825679779052734,6.679999828338623,18.670000076293945,58.945350646972656,57.543983459472656,50.040000915527344,11.394439697265625,13.620834350585938,172.42405700683594,80.39299774169922,18.549999237060547
